dataset,split_idx,variant,acc,auroc,oscr,tnr95,dtacc95,recall_target_threshold,recall_target_recall,recall_target_far,recall_target_tnr,recall_target_dtacc,best_dtacc_threshold,best_dtacc_recall,best_dtacc_far,best_dtacc_tnr,best_dtacc_dtacc,summary_path
bloodmnist,0,standard,98.16160752458316,68.07425958136525,67.66999973921276,22.458410351201476,68.54304452587682,0.00015715092013124377,0.9499786233433091,0.7735674676524954,0.2264325323475046,0.5882055778454068,0.003132763085886836,0.45404018811457886,0.08317929759704251,0.9168207024029575,0.6854304452587682,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
bloodmnist,0,b9,98.16160752458316,68.37084587549066,67.93689184201978,24.214417744916815,68.47199974079322,0.7284313440322876,0.9499786233433091,0.7578558225508318,0.24214417744916816,0.5960614003962386,0.9890601634979248,0.45446772124839674,0.08502772643253234,0.9149722735674677,0.6847199974079322,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
bloodmnist,1,standard,98.98599710284887,93.4934635262979,93.13242842069496,67.48148148148148,86.67287229286264,0.0003213228774257004,0.9497827136648962,0.3251851851851852,0.6748148148148148,0.8122987642398555,0.0007696805987507105,0.809753742153549,0.07629629629629629,0.9237037037037037,0.8667287229286263,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
bloodmnist,1,b9,98.98599710284887,93.48927875243663,93.10740919577229,67.25925925925927,86.72528926802224,0.8623844981193542,0.9497827136648962,0.32592592592592595,0.674074074074074,0.8119283938694851,0.9391919374465942,0.8396909705456301,0.10518518518518519,0.8948148148148148,0.8672528926802225,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
bloodmnist,2,standard,97.56880733944953,79.19083455928556,78.61729221033643,15.068493150684937,76.03595428368658,0.00013376127753872424,0.95,0.8493150684931506,0.15068493150684936,0.5503424657534246,0.0001582522236276418,0.5610091743119267,0.040290088638195005,0.959709911361805,0.7603595428368658,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
bloodmnist,2,b9,97.56880733944953,79.05510501297415,78.45566981348271,14.262691377921033,76.18168242538941,0.6838875412940979,0.95,0.8509266720386784,0.14907332796132156,0.5495366639806607,0.7197226881980896,0.581651376146789,0.05801772763900081,0.9419822723609992,0.7618168242538941,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_2/resume_eval_only_summary.json
bloodmnist,3,standard,97.47983870967742,84.4546209621299,83.27554675399021,31.176061238691723,77.26909219476059,0.00013783061876893044,0.9495967741935484,0.6812804453723034,0.31871955462769663,0.6341581644106224,0.00014398717030417174,0.6330645161290323,0.08768267223382047,0.9123173277661796,0.7726909219476059,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
bloodmnist,3,b9,97.47983870967742,83.9754571014883,82.77684594361004,27.07028531663187,77.3873135396323,0.6939759850502014,0.9495967741935484,0.7292971468336813,0.2707028531663187,0.6101498136799335,0.7074174284934998,0.5811491935483871,0.033402922755741124,0.9665970772442589,0.7738731353963231,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_3/resume_eval_only_summary.json
bloodmnist,4,standard,99.01417128773876,80.39664801789075,80.02257591614436,36.81868743047831,75.57664879920661,0.0001191380069940351,0.9494762784966112,0.6318131256952169,0.36818687430478314,0.6588315764006971,0.006518888287246227,0.6327788046826864,0.12124582869855395,0.8787541713014461,0.7557664879920662,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_4/resume_eval_only_summary.json
bloodmnist,4,b9,99.01417128773876,80.45120305508208,80.07783345224402,36.87430478309233,75.57664879920661,0.6833696961402893,0.9494762784966112,0.6312569521690767,0.36874304783092327,0.6591096631637672,0.9949945211410522,0.6327788046826864,0.12124582869855395,0.8787541713014461,0.7557664879920662,/Users/goodday/Downloads/pap/out/artifacts/bloodmnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_4/resume_eval_only_summary.json
dermamnist,0,standard,87.19806763285024,72.7648353473693,65.23607823595366,14.613180515759316,69.08818155392218,0.00012914813123643398,0.9498792270531401,0.8538681948424068,0.14613180515759316,0.5480055161053666,0.00013128173304721713,0.4963768115942029,0.11461318051575932,0.8853868194842407,0.6908818155392218,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,0,b9,87.19806763285024,72.19003917334553,64.40987362097368,14.613180515759316,68.4914109325471,0.6681983470916748,0.9498792270531401,0.8510028653295129,0.14899713467048714,0.5494381808618136,0.6749500036239624,0.4758454106280193,0.10601719197707736,0.8939828080229226,0.6849141093254709,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_0/resume_eval_only_summary.json
dermamnist,1,standard,75.56968733439322,54.63474441540244,41.857760053173784,22.033898305084744,63.211716202743105,0.00012204212544020265,0.949655537890832,0.7796610169491526,0.22033898305084743,0.5849972604708398,0.00012213268200866878,0.8744038155802861,0.6101694915254238,0.38983050847457623,0.6321171620274312,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
dermamnist,1,b9,75.56968733439322,61.973538842930665,48.53030997098796,25.423728813559322,66.147054332498,0.6674268841743469,0.949655537890832,0.7457627118644068,0.2542372881355932,0.6019464130132126,0.6678794026374817,0.7127715951245363,0.3898305084745763,0.6101694915254237,0.6614705433249799,/Users/goodday/Downloads/pap/out/artifacts/dermamnist/resnet18_NirvanaOpenset_38.0_False_0.0/split_1/resume_eval_only_summary.json
